CategoryID,CategoryTitle,CategorySubtitle,CategoryType,SubCategory,ItemName,ItemDescription,Price,PriceHalf,PriceFull,Popular,Image,ItemNote,FooterNote
breakfast,Breakfast Grinds,"(No Mac Salad)",standard,,Loco Moco,"10oz hamburger patty grilled to perfection, two eggs—your style, topped with our rich homemade brown gravy over rice.",$16.95,,,TRUE,/AuntyDemo/demo/LocoMoco.png,,
breakfast,Breakfast Grinds,,standard,,Roast Pork Loco Moco,"Tender, juicy roast pork two eggs—your style and topped with our rich homemade brown gravy over rice.",$17.95,,,FALSE,/AuntyDemo/demo/RoastPorkLocoMoco.png,,
breakfast,Breakfast Grinds,,standard,,Chicken Katsu Loco Moco,"Tender, crispy and golden brown chicken katsu topped with two eggs—your style and topped with our rich homemade brown gravy over rice.",$16.95,,,FALSE,/AuntyDemo/demo/ChickenKatsuLocoMoco.png,,
breakfast,Breakfast Grinds,,standard,,Spam or Portuguese Sausage and Eggs,Two eggs—your style served with 2 scoops rice.,$12.95,,,FALSE,/AuntyDemo/demo/SpamandEggs.png,,
breakfast,Breakfast Grinds,,standard,,Local Deluxe,2 slices of Spam and 3 slices Portuguese Sausage topped with two eggs—your style served with rice.,$13.95,,,FALSE,/AuntyDemo/demo/LocalDeluxe.png,,
local-favorites,Local Favorites,"(served w/ rice and mac salad)",standard,,Chicken Katsu,"Boneless chicken thighs fried till golden brown and served with katsu sauce. *OR with our homemade rich brown gravy.",$16.95,,,TRUE,/AuntyDemo/demo/ChickenKatsu.png,,"**Pork Fried Rice Upgrade $3.00**"
local-favorites,Local Favorites,,standard,,Beef Teriyaki Steak,"Thinly sliced bottom sirloin marinated in our special Hawaiian sauce and grilled to perfection. (Cooked pink in the middle unless ordered otherwise)",$20.95,,,FALSE,/AuntyDemo/demo/BeefTeriyakiSteak.png,,
local-favorites,Local Favorites,,standard,,Furikake Chicken,Deep fried boneless chicken thighs tossed in our savory homemade furikake glaze.,$17.95,,,FALSE,/AuntyDemo/demo/FurikakeChicken.png,,
local-favorites,Local Favorites,,standard,,Teriyaki Chicken,"Boneless, skinless chicken thighs marinated in our sweet and savory sauce grilled to perfection.",$16.95,,,FALSE,/AuntyDemo/demo/TeriyakiChicken.png,,
local-favorites,Local Favorites,,standard,,Hamburger Steak,"Homemade juicy 10oz patty, grilled to perfection, topped with grilled mushrooms and onions, smothered with our rich homemade brown gravy.",$16.95,,,FALSE,/AuntyDemo/demo/HamburgerSteak.png,,
local-favorites,Local Favorites,,standard,,Garlic Shrimp,"Jumbo shrimp, cooked in garlic butter, served North Shore style (shell-on ez-peel).",$18.95,,,TRUE,/AuntyDemo/demo/GarlicShrimp.png,,
local-favorites,Local Favorites,,standard,,Kalbi Short Ribs (USDA Choice),"Tender short ribs, marinated in our homemade sauce and grilled to perfection.",$22.95,,,FALSE,/AuntyDemo/demo/KalbiShortRibs.png,,
local-favorites,Local Favorites,,standard,,Hawaiian Style Roast Pork,"Made local style with Hawaiian salt, cracked black pepper, thinly sliced and topped with our rich homemade brown gravy.",$17.95,,,FALSE,/AuntyDemo/demo/HawaiianStyleRoastPork.png,,
local-favorites,Local Favorites,,standard,,Chopped Steak and Onions,"Thinly sliced tender steak stir-fried with onions and bell peppers, finished with our special stir-fry sauce.",$21.95,,,FALSE,/AuntyDemo/demo/ChoppedSteakAndOnions.png,,
local-favorites,Local Favorites,,standard,,Korean Chicken,Golden fried drumettes and wings tossed in our onolicious Korean sauce.,$16.95,,,FALSE,/AuntyDemo/demo/KoreanChicken.png,,
